# scenario: Full 1600 (dual shell)
# aor: India
# total_sats: 1600
# k_coverage: 1
# seed: 0
# step_s: 60.0
# propagator: KeplerJ2
# min_elev_deg: 25.0
cell_id,lat,lon,availability
0,37.836058420574744,71.0046538958734,1.0
1,36.68314511564106,70.94081776817939,1.0
2,37.20742433072009,72.2409223409456,1.0
3,37.29644319296694,69.70246145285935,1.0
4,37.064607437557754,74.76845013728202,1.0
5,37.5464972817516,76.10357271126615,1.0
6,37.71855200230205,73.56227516984065,1.0
7,35.005033081162175,69.6244689873407,1.0
8,35.53781029163155,70.87927046837059,1.0
9,33.872173057923256,69.58751794081677,1.0
10,34.40088905762464,70.8198912011166,1.0
11,35.599207542080265,68.40742835089604,1.0
12,36.14672792664949,69.66275880353737,1.0
13,34.46199096809986,68.39162486166795,1.0
14,35.426075991533196,73.34578480924108,1.0
15,35.920650742936196,74.6377916614718,1.0
16,34.29190332295435,73.243228075111,1.0
17,34.78453105806697,74.51173202747472,1.0
18,36.05931860542924,72.15538587211573,1.0
19,36.568571509980025,73.45206524705739,1.0
20,34.91917624098209,72.07288221708679,1.0
21,37.89810937226397,68.44080176341494,1.0
22,36.74485759380031,68.42380988393624,1.0
23,37.321514579666,78.61883697899071,1.0
24,37.758083004903085,79.97715815406072,1.0
25,37.45239782355305,82.45740751182726,1.0
26,37.84210785125493,83.8264869518067,1.0
27,37.83845367470473,97.5554466501972,1.0
28,36.81202876929923,97.05866279307169,1.0
29,37.61916703598692,96.23334405749272,1.0
30,35.54811300970627,95.2922946911023,1.0
31,35.78701456741121,96.576624944268,1.0
32,34.51648889013354,94.84276209288448,1.0
33,34.76428497789206,96.10875144198192,1.0
34,36.33678422281391,94.4484359901511,1.0
35,36.582630057823,95.75562802858303,1.0
36,35.29335082725959,94.00439616172028,1.0
37,36.01009649525852,97.85611769443092,1.0
38,34.99681789247833,97.37049666745374,1.0
39,37.12945750301698,93.57615739071495,1.0
40,37.38285573451981,94.90644650234856,1.0
41,37.9252255386556,92.67442398334155,1.0
42,28.50830365117256,86.00509004642792,1.0
43,28.8604134400412,87.19622521477287,1.0
44,27.470141344028693,85.71923283678136,1.0
45,27.825303647738554,86.90365427925936,1.0
46,29.185316488872438,85.09486590961,1.0
47,29.54585590761239,86.29662856909965,1.0
48,28.1458779714194,84.8219953762436,1.0
49,28.506879066187356,89.30267210134271,1.0
50,28.832256923918052,90.51538994594573,1.0
51,27.467407826254572,88.99977971262686,1.0
52,27.79694712876055,90.20629098533286,1.0
53,29.20261092230808,88.39757381838398,1.0
54,29.534374134955552,89.60819870003083,1.0
55,28.17106031936965,88.0984391450055,1.0
56,26.05511666922556,84.2696191088536,1.0
57,26.42122974181596,85.43599090914114,1.0
58,24.994425733060286,83.9957714150455,1.0
59,25.362193140914325,85.15534219170036,1.0
60,26.733852999793335,83.3848829051178,1.0
61,27.106131279881712,84.54603896568791,1.0
62,25.681265884417517,83.11538530725147,1.0
63,26.073806260194573,87.50805555495934,1.0
64,26.416534950295286,88.6995043244351,1.0
65,25.0093300892461,87.21676844147038,1.0
66,25.354878632926503,88.40182844836023,1.0
67,26.779021589758013,86.61371186139125,1.0
68,27.127927966678104,87.80193938716623,1.0
69,25.722176280066986,86.3263773478605,1.0
70,30.925486326577236,84.43133826352387,1.0
71,31.293634369973482,85.66635953634909,1.0
72,29.864423058396614,84.16101508461703,1.0
73,30.234783832085835,85.3761922900595,1.0
74,31.617102128882383,83.46161647812362,1.0
75,31.99579280666487,84.71031513815315,1.0
76,30.544803713996384,83.20312134721739,1.0
77,30.93839739608214,87.82284002061063,1.0
78,31.27088163705209,89.0521362219362,1.0
79,29.894474861680962,87.50322743699158,1.0
80,30.230800436097798,88.71361601155544,1.0
81,31.648803447213478,86.9070857022543,1.0
82,31.99059672008538,88.1523857542344,1.0
83,30.592911056189163,86.59715873203406,1.0
84,28.430178274732356,82.70990345735599,1.0
85,28.813272073441464,83.89896059632608,1.0
86,27.38910115867852,82.47448015627269,1.0
87,27.772657799478072,83.64481160529618,1.0
88,29.08884635868301,81.7521661298555,1.0
89,29.482279853888752,82.95267054511471,1.0
90,28.03652806217096,81.52865044935074,1.0
91,30.74781961649181,94.52314155666093,1.0
92,31.02080028990293,95.76457896961757,1.0
93,29.741227763477795,94.19418820765651,1.0
94,30.020516743102952,95.43040350937223,1.0
95,31.461295857961773,93.61172721242234,1.0
96,31.74059020718848,94.85466020117288,1.0
97,30.462332226980475,93.28567050292925,1.0
98,30.541623448834425,97.91099838629712,1.0
99,29.540903602001386,97.56968468172643,1.0
100,31.28098656187242,97.00883169287343,1.0
101,30.287403245275833,96.66972398569308,1.0
102,28.424304422781393,92.64134122100411,1.0
103,28.721260699415332,93.86779192903488,1.0
