# scenario: ~200 @48° (minimal)
# service_area: India
# min_elev_deg: 25.0
# h3_res: 3
# duration_min: 60.0
# step_s: 5.0
# k_coverage: 2
# sharding: True
# handover_gate: True
# min_overlap_s: 20.0
# require_different_plane: False
# terrain: off
# epoch_utc: 2026-01-01T00:00:00+00:00
# propagator: KeplerJ2
# seed: 0
# constellation_source: builder (re-read at Run)
# n_sats: 200
# total_sats: 200
# shape: ~200 @48° (minimal): 200 sats / 20 planes @48.0°/650km
# min_elev_deg: 25.0
cell_id,lat,lon,availability,mbb_feasible,mbb_overlap_worst_s,mbb_n_handovers
0,26.05511666922556,84.2696191088536,0.5055555555555555,0,-1.0,-1
1,26.42122974181596,85.43599090914114,0.5125,0,-1.0,-1
2,24.994425733060286,83.9957714150455,0.46944444444444444,0,-1.0,-1
3,25.362193140914325,85.15534219170036,0.4875,0,-1.0,-1
4,26.733852999793335,83.3848829051178,0.5305555555555556,0,-1.0,-1
5,27.106131279881712,84.54603896568791,0.575,0,-1.0,-1
6,25.681265884417517,83.11538530725147,0.48055555555555557,0,-1.0,-1
7,26.073806260194573,87.50805555495934,0.5541666666666667,0,-1.0,-1
8,26.416534950295286,88.6995043244351,0.5888888888888889,0,-1.0,-1
9,25.0093300892461,87.21676844147038,0.5055555555555555,0,-1.0,-1
10,25.354878632926503,88.40182844836023,0.5458333333333333,0,-1.0,-1
11,25.722176280066986,86.3263773478605,0.4986111111111111,0,-1.0,-1
12,27.38910115867852,82.47448015627269,0.5777777777777777,0,-1.0,-1
13,28.03652806217096,81.52865044935074,0.6263888888888889,0,-1.0,-1
14,28.721260699415332,93.86779192903488,0.6722222222222223,0,-1.0,-1
15,27.386222967473913,92.32304704536806,0.5986111111111111,0,-1.0,-1
16,27.688411298406663,93.54394395918368,0.6013888888888889,0,-1.0,-1
17,28.25882999275186,95.99892495436863,0.6319444444444444,0,-1.0,-1
18,27.224782920429266,95.66722506400137,0.5708333333333333,0,-1.0,-1
19,27.498592210554875,96.89431283533656,0.5875,0,-1.0,-1
20,29.006558818178647,95.09874700494852,0.6791666666666667,0,-1.0,-1
21,27.97939703928316,94.7696030569919,0.6180555555555556,0,-1.0,-1
22,21.038637441211474,84.05823496179612,0.48194444444444445,0,-1.0,-1
23,21.40275089158404,85.20270097135469,0.44722222222222224,0,-1.0,-1
24,19.939666829575156,83.79021839711955,0.5611111111111111,0,-1.0,-1
25,20.303606647093478,84.92809190530221,0.5361111111111111,0,-1.0,-1
26,21.761238913084732,83.18942723137393,0.45416666666666666,0,-1.0,-1
27,22.131162610046122,84.32873324114637,0.46111111111111114,0,-1.0,-1
28,20.66895971092736,82.92563404253758,0.5138888888888888,0,-1.0,-1
29,21.76073110670785,86.35829246225839,0.4583333333333333,0,-1.0,-1
30,22.112019795130514,87.52421922102687,0.44583333333333336,0,-1.0,-1
31,20.661982292910995,86.0771964307818,0.4888888888888889,0,-1.0,-1
32,18.467374234890173,82.4053894733901,0.6847222222222222,0,-1.0,-1
33,18.83508170321595,83.52466111897758,0.65,0,-1.0,-1
34,17.359757127786136,82.14889134721834,0.6180555555555556,0,-1.0,-1
35,19.197355784976864,81.5509925708043,0.6416666666666667,0,-1.0,-1
36,19.570727005273916,82.66429592018741,0.6,0,-1.0,-1
37,18.0957905159552,81.29879866824271,0.6944444444444444,0,-1.0,-1
38,19.198353424117595,84.65596435895793,0.6,0,-1.0,-1
39,23.549121781280085,82.58400102088058,0.4625,0,-1.0,-1
40,23.92473487073022,83.72447248676279,0.46111111111111114,0,-1.0,-1
41,22.470973723199883,82.32206544777033,0.4527777777777778,0,-1.0,-1
42,22.846756904991135,83.4556989028083,0.4666666666666667,0,-1.0,-1
43,24.237893769434695,81.71403895433932,0.44305555555555554,0,-1.0,-1
44,24.619459762904743,82.84843283162786,0.43472222222222223,0,-1.0,-1
45,23.167452804946567,81.4565423767486,0.425,0,-1.0,-1
46,23.57943645317862,85.75944881931518,0.4861111111111111,0,-1.0,-1
47,23.935175537166657,86.92805864074919,0.49444444444444446,0,-1.0,-1
48,22.494959639087497,85.47981286585062,0.45,0,-1.0,-1
49,22.85205819777801,86.64190656518008,0.45416666666666666,0,-1.0,-1
50,24.29369560957139,84.87726451717224,0.4791666666666667,0,-1.0,-1
51,24.65541792696977,86.04162996977006,0.5,0,-1.0,-1
52,23.21643933613347,84.60173563803238,0.4708333333333333,0,-1.0,-1
53,21.00534168835778,80.94890964606124,0.4930555555555556,0,-1.0,-1
54,21.38576970466018,82.06260172666008,0.4597222222222222,0,-1.0,-1
55,19.915217934137452,80.6987232414247,0.5777777777777777,0,-1.0,-1
56,20.29429353830819,81.80558552442355,0.5333333333333333,0,-1.0,-1
57,21.703479341321557,80.09464256688426,0.44027777777777777,0,-1.0,-1
58,22.089682313298564,81.20150766588854,0.4388888888888889,0,-1.0,-1
59,20.6205434035379,79.84894912878661,0.525,0,-1.0,-1
60,23.43967828145268,92.27384235037181,0.4930555555555556,0,-1.0,-1
61,24.518198351321693,92.58759468712306,0.5333333333333333,0,-1.0,-1
62,26.018785427570354,90.79806871459508,0.5625,0,-1.0,-1
63,26.3361622052061,92.00731799764671,0.5583333333333333,0,-1.0,-1
64,25.27472876792486,91.69414213771842,0.5402777777777777,0,-1.0,-1
65,26.749838824129643,89.89980293258253,0.6041666666666666,0,-1.0,-1
66,25.887580252779752,94.11882442030434,0.5027777777777778,0,-1.0,-1
67,24.824101753388156,93.79717418262338,0.49444444444444446,0,-1.0,-1
68,26.643219293734855,93.22263502146649,0.5486111111111112,0,-1.0,-1
69,26.939549204374693,94.44296469941007,0.5486111111111112,0,-1.0,-1
70,25.58627095032543,92.90385534534158,0.5236111111111111,0,-1.0,-1
71,22.456073132194724,88.69964264780327,0.4388888888888889,0,-1.0,-1
72,24.283099616498582,88.10673433611615,0.49444444444444446,0,-1.0,-1
73,23.20189969012818,87.81420399804081,0.4861111111111111,0,-1.0,-1
74,33.93389579473295,78.04100695798729,0.7958333333333333,1,55.0,20
75,32.82109708282489,77.86138631823795,0.7305555555555555,1,35.0,20
76,30.624728920783234,77.51974228890225,0.6958333333333333,0,-1.0,-1
77,31.063241029562427,78.73926969895678,0.6972222222222222,0,-1.0,-1
78,29.542546167330684,77.357159162746,0.6944444444444444,0,-1.0,-1
79,29.979639612678437,78.55617640046361,0.6791666666666667,0,-1.0,-1
80,31.26697530907888,76.46031984939458,0.6805555555555556,0,-1.0,-1
81,31.717802774944555,77.68772774882837,0.7069444444444445,0,-1.0,-1
82,30.175656156234474,76.31324294700542,0.7,0,-1.0,-1
83,30.406268632224076,79.76707808026534,0.6597222222222222,0,-1.0,-1
84,34.602184438494014,76.93231975208634,0.8097222222222222,1,55.0,22
85,35.05543911774993,78.22689834681326,0.8555555555555555,1,50.0,23
86,33.015739453321835,75.5131114313878,0.7458333333333333,1,40.0,21
87,33.48095478788055,76.76959696877607,0.7666666666666667,1,50.0,20
88,31.9054105528324,75.377884311945,0.7027777777777777,0,-1.0,-1
89,32.368972506395714,76.61235364565425,0.7319444444444444,0,-1.0,-1
90,33.65706808727049,74.3900337918587,0.7763888888888889,1,55.0,21
91,34.13579199604777,75.65303741071426,0.7875,1,60.0,21
92,25.761788620917688,77.87924858051441,0.4888888888888889,0,-1.0,-1
93,26.181481677737363,79.01348543648629,0.5069444444444444,0,-1.0,-1
94,24.73911277355156,77.72265095468263,0.4375,0,-1.0,-1
95,25.15609724616995,78.83916256089455,0.45416666666666666,0,-1.0,-1
96,26.36734665564513,76.89936040378943,0.5236111111111111,0,-1.0,-1
97,26.7976611866191,78.04066927925165,0.5458333333333333,0,-1.0,-1
98,25.334491633005648,76.75599631875319,0.4597222222222222,0,-1.0,-1
99,25.966894268132602,81.10164343663638,0.48055555555555557,0,-1.0,-1
100,26.353903716861673,82.23651885549104,0.5083333333333333,0,-1.0,-1
101,24.912757525873353,80.84620727471376,0.45555555555555555,0,-1.0,-1
102,25.300276162554827,81.97402266492189,0.45416666666666666,0,-1.0,-1
103,26.592976750186217,80.15796734527686,0.525,0,-1.0,-1
104,26.995699928451614,81.31190868852403,0.5375,0,-1.0,-1
105,25.565544923014112,79.96574189924536,0.4777777777777778,0,-1.0,-1
106,23.30976838755242,76.48191088603971,0.4736111111111111,0,-1.0,-1
107,23.71721431234514,77.54993581426334,0.4625,0,-1.0,-1
108,22.25241809762985,76.25719638071894,0.4722222222222222,0,-1.0,-1
109,22.65782958014785,77.31817127149809,0.45694444444444443,0,-1.0,-1
110,23.88486220206914,75.52259231599064,0.5055555555555555,0,-1.0,-1
111,24.315170289763326,76.61690880468274,0.48333333333333334,0,-1.0,-1
112,22.88372607922774,75.40433776150537,0.4861111111111111,0,-1.0,-1
113,23.45739629235947,79.48665203311543,0.42916666666666664,0,-1.0,-1
114,23.850335156310503,80.59324576690221,0.44305555555555554,0,-1.0,-1
115,22.38836169750603,79.24315218672868,0.4375,0,-1.0,-1
116,22.780330897133926,80.34273284459043,0.42777777777777776,0,-1.0,-1
117,24.12060608501214,78.63363284693568,0.44027777777777777,0,-1.0,-1
118,24.519327270253818,79.73255733441664,0.4513888888888889,0,-1.0,-1
119,23.059690729246725,78.39479911584328,0.45555555555555555,0,-1.0,-1
120,28.027591642422202,76.0330278002152,0.6333333333333333,0,-1.0,-1
121,28.471878514970054,77.19972438625086,0.6513888888888889,0,-1.0,-1
122,26.97199726528933,75.8994592224022,0.5694444444444444,0,-1.0,-1
123,27.413302480906104,77.04719949821711,0.5819444444444445,0,-1.0,-1
124,28.63968462805419,74.99815573360773,0.675,0,-1.0,-1
125,29.095661782284882,76.17088625294946,0.6861111111111111,0,-1.0,-1
126,27.574936337689156,74.8795533739983,0.5972222222222222,0,-1.0,-1
127,28.27026292083763,79.37850085659667,0.6277777777777778,0,-1.0,-1
128,27.219697967069624,79.19318198239858,0.5583333333333333,0,-1.0,-1
129,27.632848629590956,80.35611852712682,0.5888888888888889,0,-1.0,-1
130,28.90711635735961,78.37888823688839,0.6555555555555556,0,-1.0,-1
131,29.332645848881484,79.56970605277245,0.6694444444444444,0,-1.0,-1
132,27.846272360192742,78.20713667047937,0.6083333333333333,0,-1.0,-1
133,25.484409993004725,74.6532194375029,0.5138888888888888,0,-1.0,-1
134,25.92938199422342,75.76998473538973,0.4986111111111111,0,-1.0,-1
135,24.45953984754366,74.54516239079491,0.5236111111111111,0,-1.0,-1
136,24.900201094750226,75.64442020847177,0.48333333333333334,0,-1.0,-1
137,26.067042945553542,73.64337160405042,0.5541666666666667,0,-1.0,-1
138,26.523018803190975,74.7646305186264,0.5430555555555555,0,-1.0,-1
139,25.03308450797491,73.54968835714811,0.5375,0,-1.0,-1
140,30.334194093860265,74.04896515358973,0.6875,0,-1.0,-1
141,30.805520133678293,75.24712470550807,0.6805555555555556,0,-1.0,-1
142,29.248710569003542,73.94263891639825,0.675,0,-1.0,-1
143,29.71673739685941,75.12061611624716,0.6944444444444444,0,-1.0,-1
144,27.797601882662644,70.50334761912032,0.6291666666666667,0,-1.0,-1
